temporada,clube_slug,tem_patrocinio_bet,tipo_patrocinio_bet,marca_principal_bet,num_marcas_bet,fonte_informacao
2015,athletico_pr,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,atletico_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,avai,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,chapecoense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,corinthians,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,coritiba,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,cruzeiro,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,figueirense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,flamengo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,fluminense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,goias,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,gremio,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,internacional,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,joinville,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,palmeiras,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,ponte_preta,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,santos,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,sao_paulo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,sport,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2015,vasco,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,america_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,athletico_pr,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,atletico_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,botafogo_rj,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,chapecoense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,corinthians,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,coritiba,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,cruzeiro,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,figueirense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,flamengo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,fluminense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,gremio,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,internacional,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,palmeiras,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,ponte_preta,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,santa_cruz,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,santos,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,sao_paulo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,sport,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2016,vitoria,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,athletico_pr,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,atletico_go,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,atletico_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,avai,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,bahia,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,botafogo_rj,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,chapecoense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,corinthians,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,coritiba,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,cruzeiro,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
2017,flamengo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico
